date,qty,qty,qty,qty,qty,qty,qty,qty,qty,qty
5/17/2021,0.7,,,,,,,,,
5/18/2021,0.5,,,,,,,,,
5/19/2021,0.8,,,,,,,,,
5/20/21,4,,,,,,,,,
5/21/21,0.4,0.3,0.6,0.6,0.2,0.2,0.2,0.3,0.3,0.8
5/22/21,0.3,0.1,0.4,0.6,0.1,0.1,0.4,0.8,,
5/23/21,0.4,0.2,0.1,0.2,0.6,0.1,0.2,1.2,,
5/24/2021,0.2,0.2,0.1,0.4,0.2,0.2,0.1,0.2,0.9,
5/25/2031,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.7,0.4,0.4
5/26/2021,0.4,0.3,0.2,0.2,0.1,0.1,0.1,1.6,,
5/27/2021,0.3,0.1,0.2,0.2,0.3,0.4,0.3,1.1,,
5/28/2021,0.3,0.3,0.2,0.2,0.1,1.4,,,,
5/29/2021,0.4,0.4,0.3,0.1,0.2,0.8,,,,
5/30/21,0.2,0.3,0.2,0.4,0.1,0.3,0.1,0.3,1,
5/31/2021,0.4,0.1,0.5,0.2,0.1,0.1,1,,,
6/1/2021,0.4,0.1,0.2,0.1,0.2,0.3,0.2,0.6,,
6/2/2021,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.8
6/3/2021,0.3,0.7,0.2,0.3,0.3,0.8,,,,
6/4/2021,0.4,0.1,0.1,0.3,0.3,0.1,0.6,,,
6/5/2021,0.6,0.1,0.1,0.3,0.1,0.2,0.3,0.6,,
6/6/2021,0.6,0.4,0.2,1,,,,,,
6/7/2021,0.2,0.3,0.3,0.2,0.2,0.3,0.7,,,
6/8/2021,0.6,0.2,0.1,0.1,0.2,0.4,,,,
6/9/2021,0.6,0.2,0.2,0.3,1.2,,,,,
6/10/2021,0.2,0.3,0.2,0.2,0.1,0.3,0.1,0.9,,
6/11/2021,0.2,0.3,0.1,0.2,0.2,0.3,0.4,,,
6/12/2021,0.4,0.3,0.1,0.2,0.1,0.4,0.2,0.1,0.8,
6/13/2021,0.4,0.2,0.2,0.3,0.3,0.4,0.5,,,
6/14/2021,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.4,0.6,
6/15/2021,0.6,0.2,0.2,0.1,0.4,0.3,,,,
6/16/2021,0.4,0.1,0.2,0.2,0.2,0.2,0.6,,,
6/17/2021,0.7,0.2,0.1,0.2,0.2,0.3,0.4,,,
6/18/2021,0.5,0.3,0.1,0.3,0.1,0.2,0.7,,,
6/19/2021,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.5
6/20/2021,0.4,0.3,0.1,0.3,0.2,0.9,,,,
6/21/2021,0.2,0.3,0.1,0.6,0.6,,,,,
6/22/2021,0.2,0.4,0.4,0.2,0.4,0.5,,,,
6/23/2021,0.3,0.2,0.2,0.3,0.2,0.4,0.5,,,
6/24/2021,0.3,0.3,0.3,0.3,0.4,0.6,,,,
6/25/2021,0.4,0.4,0.3,0.2,0.1,0.5,0.5,,,
6/26/2021,0.4,0.2,0.1,0.5,0.2,0.1,0.3,0.5,,
6/27/2021,0.2,0.5,0.2,0.2,0.1,0.3,0.3,0.4,,
6/28/2021,0.4,0.1,0.1,0.2,0.5,0.3,0.6,,,
6/29/2021,0.3,0.2,0.3,0.1,0.1,0.9,,,,
6/30/2021,0.3,0.2,0.2,0.5,0.1,0.5,0.4,,,
7/1/2021,0.3,0.2,0.3,0.1,0.4,0.2,,,,
7/2/2021,0.2,0.2,0.1,0.1,0.2,0.3,0.1,0.4,0.5,
7/3/2021,0.4,0.2,0.3,0.2,0.9,,,,,
7/4/2021,0.4,0.5,0.3,0.8,,,,,,
7/5/2021,0.2,0.2,0.2,0.2,0.1,0.4,0.7,,,
7/6/2021,0.2,0.3,0.1,0.2,0.3,0.1,0.7,,,
7/7/2021,0.3,0.2,0.3,0.3,0.2,0.3,0.1,0.7,,
7/8/2021,0.2,0.3,0.3,0.1,0.3,0.6,,,,
7/9/2021,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.3,0.3,
7/10/2021,0.5,0.2,0.2,0.3,0.2,0.6,,,,
7/11/2021,0.1,0.7,0.1,0.3,0.3,0.6,,,,
7/12/2021,0.5,0.2,0.4,0.3,0.1,0.6,,,,
7/13/2021,0.3,0.5,0.4,0.1,0.6,,,,,
7/14/2021,0.3,0.2,0.2,0.1,0.1,0.2,0.5,,,
7/15/2021,0.2,0.2,0.2,0.1,0.6,0.5,,,,
7/16/2021,0.2,0.3,0.1,0.1,0.4,0.6,,,,
7/17/2021,0.3,0.2,0.1,0.2,0.3,0.6,,,,
7/18/2021,0.3,0.1,0.2,0.3,0.8,,,,,
7/19/2021,0.4,0.3,0.1,0.4,0.6,,,,,
7/20/2021,0.1,0.4,0.2,0.1,0.2,0.6,,,,
7/21/2021,0.5,0.3,0.3,0.7,,,,,,
7/22/2021,0.3,0.2,0.2,0.2,0.8,,,,,
7/23/2021,0.3,0.2,0.4,1,,,,,,
7/24/2021,0.5,0.1,0.2,0.6,,,,,,
7/25/2021,0.2,0.5,0.4,0.6,,,,,,
7/26/2021,0.4,0.4,0.3,0.8,,,,,,
7/27/2021,0.2,0.2,0.3,0.6,,,,,,
7/28/2021,0.4,0.2,0.2,0.4,0.8,,,,,
7/29/2021,0.2,0.2,0.1,0.6,0.6
7/30/2021, 0.3, 0.2, 0.3, 0.3, 0.6
7/31/2021, 0.2, 0.3, 0.4, 0.7
8/1/2021, 0.2, 0.4, 0.8
8/2/2021, 0.2, 0.2, 0.2, 0.3, 0.5
8/3/2021, 0.2, 0.4, 0.3, 0.9
8/4/2021, 0.3, 0.2, 0.4, 0.8
8/5/2021, 0.4, 0.3, 0.1, 1.1
8/6/2021, 0.4, 0.2, 0.3, 0.7
8/7/2021, 0.2, 0.2, 0.3, 0.4, 0.1, 0.7
8/8/2021, 0.3, 0.3, 0.2, 0.2, 0.8
8/9/2021, 0.2, 0.3, 0.2, 1.1
8/10/2021, 0.1, 0.2, 0.2, 0.8
